id,from_measurement,to_measurement,amount
1,1,2,3
2,1,3,0.0625
3,1,4,0.5
4,1,5,0.03125
5,1,6,0.015625
6,1,7,0.125
7,1,8,17.07
8,1,9,0.014786765
9,1,10,14.7868
10,1,11,0.0147868
11,1,12,0.00390625
12,2,1,0.33
13,2,3,0.0208333
14,2,4,0.166667
15,2,5,0.0104167
16,2,6,0.00520833
17,2,7,0.041667
18,2,8,4.2
19,2,9,0.004928922
20,2,10,4.92892
21,2,11,0.00492892
22,2,12,0.00130208
23,3,1,16
24,3,2,48
25,3,4,8
26,3,5,0.5
27,3,6,0.25
28,3,7,2
29,3,8,128
30,3,9,0.2366
31,3,10,236.588
32,3,11,0.236588
33,3,12,0.0625
34,4,1,2
35,4,2,6
36,4,3,0.125
37,4,5,0.0625
38,4,6,0.03125
39,4,7,0.25
40,4,8,28.3495
41,4,9,0.0283495
42,4,10,29.5735
43,4,11,0.0295735
44,4,12,0.0078125
45,5,1,32
46,5,2,96
47,5,3,2
48,5,4,16
49,5,6,0.5
50,5,8,473.18
51,5,9,0.473176
52,5,10,473
53,5,11,0.473176
54,5,12,0.125
55,6,1,64
56,6,2,192
57,6,3,4
58,6,4,32
59,6,5,2
60,6,7,8
61,6,8,946.35
62,6,9,0.946353
63,6,10,946.353
64,6,11,0.946353
65,6,12,0.25
66,7,1,8
67,7,2,24
68,7,3,0.5
69,7,4,4
70,7,5,0.25
71,7,6,0.125
72,7,8,113.4
73,7,9,0.11
74,7,10,118.29
75,7,11,0.11829
76,8,1,0.08
77,8,2,0.23
78,8,3,0.00423
79,8,4,0.035274
80,8,5,0.00211
81,8,6,0.00106
82,8,7,0.0088
83,8,9,0.001
84,8,10,1
85,8,11,0.001
86,8,12,0.00026
87,9,1,67.63
88,9,2,240
89,9,3,4.22675
90,9,4,35.274
91,9,5,1.76
92,9,6,1.056688
93,9,7,8.82
94,9,8,1000
95,9,10,1000
96,9,11,1
97,9,12,0.26417
98,10,1,0.067628
99,10,2,0.202884
100,10,3,0.00422675
101,10,4,0.033814
102,10,5,0.00211338
103,10,6,0.00105669
104,10,7,0.00845351
105,10,8,1
106,10,9,1000
107,10,11,1000
108,10,12,0.000264172
109,11,1,67.628
110,11,2,202.884
111,11,3,4.22675
112,11,4,33.814
113,11,5,2.11338
114,11,6,1.05669
115,11,7,8.45351
116,11,8,1000
117,11,9,1
118,11,10,1000
119,11,12,0.264172
120,12,1,256
121,12,2,768
122,12,3,16
123,12,4,128
124,12,5,8
125,12,6,4
126,12,7,32
127,12,8,3785
128,12,9,3.79
129,12,10,3785.41
130,12,11,3.7854