id,title,user_id,rate,view,like,cook_duration,cook_preparation,serve_portion,description,created_at,updated_at,deleted_at
126,Jiffy® Corn Casserole,2,4.571428571428571,0,28,50,20,0,"My mother won an award many, many years ago with this recipe in the Arizona Republic newspaper. I think it is delish and so different from a lot of other corn casseroles. Everybody I know asks for this recipe so I am giving it to everyone! Enjoy! ",,,
127,Homemade Mac and Cheese,2,4.160714285714286,0,2576,30,20,0,This is a nice rich mac and cheese. Serve with a salad for a great meatless dinner. Hope you enjoy it. ,,,
128,Easy Sausage Gravy and Biscuits,2,4.813236627379873,0,1103,10,5,0,"Hot jumbo buttermilk biscuits with creamy sausage gravy are ready in just 15 minutes for a hearty, family-favorite breakfast. ",,,
129,Monterey Chicken,2,4.589830508474576,0,295,15,45,0,"Classic Monterey Chicken with sauteed onions, peppers and mushrooms. It's worth the extra time!! ",,,
130,Apple Pie by Grandma Ople,2,4.778871220020855,0,15344,60,30,0,This was my grandmother's apple pie recipe. I have never seen another one quite like it. It will always be my favorite and has won me several first place prizes in local competitions. I hope it becomes one of your favorites as well! ,,,
131,Basic Crepes,2,4.615072316670895,0,3941,20,10,0,Here is a simple but delicious crepe batter which can be made in minutes. It's made from ingredients that everyone has on hand. ,,,
132,Slow Cooker Texas Pulled Pork,2,4.5236363636363635,0,3025,300,15,0,"Slow cooked, Texas-style pulled pork that is served on a buttered and toasted roll. My family's favorite. ",,,
133,Basic Mashed Potatoes,2,4.515151515151516,0,594,20,15,0,"If you love good, old fashioned mashed potatoes this is the perfect recipe. Simple and delicious. ",,,
134,Cheesy Baked Eggs,2,4.792792792792793,0,111,60,15,0,"This basically is eggs, on top of cheese, on top of cheese, on top of eggs making an interesting concoction of eggs, cheese, and flour. To add a little extra kick, add a small can of diced chiles or jalapenos into the mix. Serve with sour cream, salsa, and green taco sauce. ",,,
135,Yummy Sweet Potato Casserole,2,4.78464276633613,0,3933,30,30,0,My family begs me to make this creamy baked dish every Thanksgiving and Christmas. What makes it so good is the pecan topping! Try it and I'm sure it will become your new tradition! ,,,
136,Butternut Squash Soup II,2,4.639331210191083,0,2512,45,25,0,"This is a thick, rich soup with tons of flavor. Something I whipped up off the top of my head, with things I had on hand. Super easy, quick, and a great way to use squash. An instant hit at my house. ",,,
137,Grilled Cheese of the Gods,2,4.5,0,40,6,10,0,"This easy gourmet sandwich is so good, you would serve it to the president if you had him over for dinner. As far as grilled cheese goes, this is it! Serve with a nice gourmet Italian salad. ",,,
138,Roasted Brussels Sprouts with Parmesan,2,4.653061224489796,0,49,20,10,0,"Balsamic vinegar adds a punch of flavor to these easy roasted Brussels sprouts, while the Parmesan provides a melty, cheesy finish. ",,,
139,Perfect Pumpkin Pie,2,4.669997145304025,0,3503,55,15,0,The one and only! EAGLE BRAND® makes this traditional dessert the perfect ending to a Thanksgiving feast. ,,,
140,Taco Seasoning I,2,4.823213600920363,0,7823,0,1,0,"Depending on how spicy you and your family like your dishes, use as little or as much as you want. ",,,
141,Hamburger Steak with Onions and Gravy,2,4.613703339882122,0,4072,25,15,0,"An easy-to-make classic featuring tasty hamburger 'steaks' smothered in gravy and onions. Traditionally served with hot white rice or potatoes, it's a great way to dress up a pound of ground beef and you probably have all the ingredients on hand! ",,,
142,Banana Banana Bread,2,4.59207386006783,0,15922,65,15,0,Why compromise the banana flavor? This banana bread is moist and delicious with loads of banana flavor! Friends and family love my recipe and say it's by far the best! It's wonderful toasted!! Enjoy! ,,,
143,Easy Sugar Cookies,2,4.465844636251541,0,8110,0,0,0,"Quick and easy sugar cookies! They are really good, plain or with candies in them. My friend uses chocolate mints on top, and they're great! ",,,
144,Best Green Bean Casserole,2,4.6329837940896095,0,1049,15,10,0,This great variation of the traditional green bean casserole is topped with French fried onions and Cheddar cheese. ,,,
145,Guacamole,2,4.805727860630856,0,7577,0,10,0,You can make this avocado salad smooth or chunky depending on your tastes. ,,,
146,Easy Coleslaw Dressing,2,4.8,0,2080,0,10,0,A creamy coleslaw dressing that can be made with ingredients you already have! You can pour it immediately over a 14-ounce package of coleslaw mix or refrigerate until needed. ,,,
147,Simple Roasted Butternut Squash,2,4.726057906458798,0,1347,25,15,0,"Butternut squash is so good on its own, that barely any seasoning is needed. This recipe is so simple and easy. ",,,
148,Juicy Roasted Chicken,2,4.712,0,4000,75,10,0,My grandmother's recipe for roasted chicken. We are German and she used to do it this way all the time. I never have had a chicken this juicy before; this little trick works and makes the people eating it go silent. It's funny. We nibble on the celery after. ,,,
149,Jiffy® Corn Casserole,2,4.571428571428571,0,28,50,20,0,"My mother won an award many, many years ago with this recipe in the Arizona Republic newspaper. I think it is delish and so different from a lot of other corn casseroles. Everybody I know asks for this recipe so I am giving it to everyone! Enjoy! ",,,
150,Homemade Mac and Cheese,2,4.160714285714286,0,2576,30,20,0,This is a nice rich mac and cheese. Serve with a salad for a great meatless dinner. Hope you enjoy it. ,,,
151,Easy Sausage Gravy and Biscuits,2,4.813236627379873,0,1103,10,5,0,"Hot jumbo buttermilk biscuits with creamy sausage gravy are ready in just 15 minutes for a hearty, family-favorite breakfast. ",,,
152,Monterey Chicken,2,4.589830508474576,0,295,15,45,0,"Classic Monterey Chicken with sauteed onions, peppers and mushrooms. It's worth the extra time!! ",,,
153,Apple Pie by Grandma Ople,2,4.778871220020855,0,15344,60,30,0,This was my grandmother's apple pie recipe. I have never seen another one quite like it. It will always be my favorite and has won me several first place prizes in local competitions. I hope it becomes one of your favorites as well! ,,,
154,Basic Crepes,2,4.615072316670895,0,3941,20,10,0,Here is a simple but delicious crepe batter which can be made in minutes. It's made from ingredients that everyone has on hand. ,,,
155,Slow Cooker Texas Pulled Pork,2,4.5236363636363635,0,3025,300,15,0,"Slow cooked, Texas-style pulled pork that is served on a buttered and toasted roll. My family's favorite. ",,,
156,Basic Mashed Potatoes,2,4.515151515151516,0,594,20,15,0,"If you love good, old fashioned mashed potatoes this is the perfect recipe. Simple and delicious. ",,,
157,Cheesy Baked Eggs,2,4.792792792792793,0,111,60,15,0,"This basically is eggs, on top of cheese, on top of cheese, on top of eggs making an interesting concoction of eggs, cheese, and flour. To add a little extra kick, add a small can of diced chiles or jalapenos into the mix. Serve with sour cream, salsa, and green taco sauce. ",,,
158,Yummy Sweet Potato Casserole,2,4.78464276633613,0,3933,30,30,0,My family begs me to make this creamy baked dish every Thanksgiving and Christmas. What makes it so good is the pecan topping! Try it and I'm sure it will become your new tradition! ,,,
159,Butternut Squash Soup II,2,4.639331210191083,0,2512,45,25,0,"This is a thick, rich soup with tons of flavor. Something I whipped up off the top of my head, with things I had on hand. Super easy, quick, and a great way to use squash. An instant hit at my house. ",,,
160,Grilled Cheese of the Gods,2,4.5,0,40,6,10,0,"This easy gourmet sandwich is so good, you would serve it to the president if you had him over for dinner. As far as grilled cheese goes, this is it! Serve with a nice gourmet Italian salad. ",,,
161,Roasted Brussels Sprouts with Parmesan,2,4.653061224489796,0,49,20,10,0,"Balsamic vinegar adds a punch of flavor to these easy roasted Brussels sprouts, while the Parmesan provides a melty, cheesy finish. ",,,
162,Perfect Pumpkin Pie,2,4.669997145304025,0,3503,55,15,0,The one and only! EAGLE BRAND® makes this traditional dessert the perfect ending to a Thanksgiving feast. ,,,
163,Taco Seasoning I,2,4.823213600920363,0,7823,0,1,0,"Depending on how spicy you and your family like your dishes, use as little or as much as you want. ",,,
164,Hamburger Steak with Onions and Gravy,2,4.613703339882122,0,4072,25,15,0,"An easy-to-make classic featuring tasty hamburger 'steaks' smothered in gravy and onions. Traditionally served with hot white rice or potatoes, it's a great way to dress up a pound of ground beef and you probably have all the ingredients on hand! ",,,
165,Banana Banana Bread,2,4.59207386006783,0,15922,65,15,0,Why compromise the banana flavor? This banana bread is moist and delicious with loads of banana flavor! Friends and family love my recipe and say it's by far the best! It's wonderful toasted!! Enjoy! ,,,
166,Easy Sugar Cookies,2,4.465844636251541,0,8110,0,0,0,"Quick and easy sugar cookies! They are really good, plain or with candies in them. My friend uses chocolate mints on top, and they're great! ",,,
167,Best Green Bean Casserole,2,4.6329837940896095,0,1049,15,10,0,This great variation of the traditional green bean casserole is topped with French fried onions and Cheddar cheese. ,,,
168,Guacamole,2,4.805727860630856,0,7577,0,10,0,You can make this avocado salad smooth or chunky depending on your tastes. ,,,
169,Easy Coleslaw Dressing,2,4.8,0,2080,0,10,0,A creamy coleslaw dressing that can be made with ingredients you already have! You can pour it immediately over a 14-ounce package of coleslaw mix or refrigerate until needed. ,,,
170,Simple Roasted Butternut Squash,2,4.726057906458798,0,1347,25,15,0,"Butternut squash is so good on its own, that barely any seasoning is needed. This recipe is so simple and easy. ",,,
171,Juicy Roasted Chicken,2,4.712,0,4000,75,10,0,My grandmother's recipe for roasted chicken. We are German and she used to do it this way all the time. I never have had a chicken this juicy before; this little trick works and makes the people eating it go silent. It's funny. We nibble on the celery after. ,,,
172,Jiffy® Corn Casserole,2,4.571428571428571,0,28,50,20,0,"My mother won an award many, many years ago with this recipe in the Arizona Republic newspaper. I think it is delish and so different from a lot of other corn casseroles. Everybody I know asks for this recipe so I am giving it to everyone! Enjoy! ",,,
173,Homemade Mac and Cheese,2,4.160714285714286,0,2576,30,20,0,This is a nice rich mac and cheese. Serve with a salad for a great meatless dinner. Hope you enjoy it. ,,,
174,Easy Sausage Gravy and Biscuits,2,4.813236627379873,0,1103,10,5,0,"Hot jumbo buttermilk biscuits with creamy sausage gravy are ready in just 15 minutes for a hearty, family-favorite breakfast. ",,,
175,Monterey Chicken,2,4.589830508474576,0,295,15,45,0,"Classic Monterey Chicken with sauteed onions, peppers and mushrooms. It's worth the extra time!! ",,,
176,Apple Pie by Grandma Ople,2,4.778871220020855,0,15344,60,30,0,This was my grandmother's apple pie recipe. I have never seen another one quite like it. It will always be my favorite and has won me several first place prizes in local competitions. I hope it becomes one of your favorites as well! ,,,
177,Basic Crepes,2,4.615072316670895,0,3941,20,10,0,Here is a simple but delicious crepe batter which can be made in minutes. It's made from ingredients that everyone has on hand. ,,,
178,Slow Cooker Texas Pulled Pork,2,4.5236363636363635,0,3025,300,15,0,"Slow cooked, Texas-style pulled pork that is served on a buttered and toasted roll. My family's favorite. ",,,
179,Basic Mashed Potatoes,2,4.515151515151516,0,594,20,15,0,"If you love good, old fashioned mashed potatoes this is the perfect recipe. Simple and delicious. ",,,
180,Cheesy Baked Eggs,2,4.792792792792793,0,111,60,15,0,"This basically is eggs, on top of cheese, on top of cheese, on top of eggs making an interesting concoction of eggs, cheese, and flour. To add a little extra kick, add a small can of diced chiles or jalapenos into the mix. Serve with sour cream, salsa, and green taco sauce. ",,,
181,Yummy Sweet Potato Casserole,2,4.78464276633613,0,3933,30,30,0,My family begs me to make this creamy baked dish every Thanksgiving and Christmas. What makes it so good is the pecan topping! Try it and I'm sure it will become your new tradition! ,,,
182,Butternut Squash Soup II,2,4.639331210191083,0,2512,45,25,0,"This is a thick, rich soup with tons of flavor. Something I whipped up off the top of my head, with things I had on hand. Super easy, quick, and a great way to use squash. An instant hit at my house. ",,,
183,Grilled Cheese of the Gods,2,4.5,0,40,6,10,0,"This easy gourmet sandwich is so good, you would serve it to the president if you had him over for dinner. As far as grilled cheese goes, this is it! Serve with a nice gourmet Italian salad. ",,,
184,Roasted Brussels Sprouts with Parmesan,2,4.653061224489796,0,49,20,10,0,"Balsamic vinegar adds a punch of flavor to these easy roasted Brussels sprouts, while the Parmesan provides a melty, cheesy finish. ",,,
185,Perfect Pumpkin Pie,2,4.669997145304025,0,3503,55,15,0,The one and only! EAGLE BRAND® makes this traditional dessert the perfect ending to a Thanksgiving feast. ,,,
186,Taco Seasoning I,2,4.823213600920363,0,7823,0,1,0,"Depending on how spicy you and your family like your dishes, use as little or as much as you want. ",,,
187,Hamburger Steak with Onions and Gravy,2,4.613703339882122,0,4072,25,15,0,"An easy-to-make classic featuring tasty hamburger 'steaks' smothered in gravy and onions. Traditionally served with hot white rice or potatoes, it's a great way to dress up a pound of ground beef and you probably have all the ingredients on hand! ",,,
188,Banana Banana Bread,2,4.59207386006783,0,15922,65,15,0,Why compromise the banana flavor? This banana bread is moist and delicious with loads of banana flavor! Friends and family love my recipe and say it's by far the best! It's wonderful toasted!! Enjoy! ,,,
189,Easy Sugar Cookies,2,4.465844636251541,0,8110,0,0,0,"Quick and easy sugar cookies! They are really good, plain or with candies in them. My friend uses chocolate mints on top, and they're great! ",,,
190,Best Green Bean Casserole,2,4.6329837940896095,0,1049,15,10,0,This great variation of the traditional green bean casserole is topped with French fried onions and Cheddar cheese. ,,,
191,Guacamole,2,4.805727860630856,0,7577,0,10,0,You can make this avocado salad smooth or chunky depending on your tastes. ,,,
192,Easy Coleslaw Dressing,2,4.8,0,2080,0,10,0,A creamy coleslaw dressing that can be made with ingredients you already have! You can pour it immediately over a 14-ounce package of coleslaw mix or refrigerate until needed. ,,,
193,Simple Roasted Butternut Squash,2,4.726057906458798,0,1347,25,15,0,"Butternut squash is so good on its own, that barely any seasoning is needed. This recipe is so simple and easy. ",,,
194,Juicy Roasted Chicken,2,4.712,0,4000,75,10,0,My grandmother's recipe for roasted chicken. We are German and she used to do it this way all the time. I never have had a chicken this juicy before; this little trick works and makes the people eating it go silent. It's funny. We nibble on the celery after. ,,,
195,Jiffy® Corn Casserole,2,4.571428571428571,0,28,50,20,0,"My mother won an award many, many years ago with this recipe in the Arizona Republic newspaper. I think it is delish and so different from a lot of other corn casseroles. Everybody I know asks for this recipe so I am giving it to everyone! Enjoy! ",,,
196,Homemade Mac and Cheese,2,4.160714285714286,0,2576,30,20,0,This is a nice rich mac and cheese. Serve with a salad for a great meatless dinner. Hope you enjoy it. ,,,
197,Easy Sausage Gravy and Biscuits,2,4.813236627379873,0,1103,10,5,0,"Hot jumbo buttermilk biscuits with creamy sausage gravy are ready in just 15 minutes for a hearty, family-favorite breakfast. ",,,
198,Monterey Chicken,2,4.589830508474576,0,295,15,45,0,"Classic Monterey Chicken with sauteed onions, peppers and mushrooms. It's worth the extra time!! ",,,
199,Apple Pie by Grandma Ople,2,4.778871220020855,0,15344,60,30,0,This was my grandmother's apple pie recipe. I have never seen another one quite like it. It will always be my favorite and has won me several first place prizes in local competitions. I hope it becomes one of your favorites as well! ,,,
200,Basic Crepes,2,4.615072316670895,0,3941,20,10,0,Here is a simple but delicious crepe batter which can be made in minutes. It's made from ingredients that everyone has on hand. ,,,
201,Slow Cooker Texas Pulled Pork,2,4.5236363636363635,0,3025,300,15,0,"Slow cooked, Texas-style pulled pork that is served on a buttered and toasted roll. My family's favorite. ",,,
202,Basic Mashed Potatoes,2,4.515151515151516,0,594,20,15,0,"If you love good, old fashioned mashed potatoes this is the perfect recipe. Simple and delicious. ",,,
203,Cheesy Baked Eggs,2,4.792792792792793,0,111,60,15,0,"This basically is eggs, on top of cheese, on top of cheese, on top of eggs making an interesting concoction of eggs, cheese, and flour. To add a little extra kick, add a small can of diced chiles or jalapenos into the mix. Serve with sour cream, salsa, and green taco sauce. ",,,
204,Yummy Sweet Potato Casserole,2,4.78464276633613,0,3933,30,30,0,My family begs me to make this creamy baked dish every Thanksgiving and Christmas. What makes it so good is the pecan topping! Try it and I'm sure it will become your new tradition! ,,,
205,Butternut Squash Soup II,2,4.639331210191083,0,2512,45,25,0,"This is a thick, rich soup with tons of flavor. Something I whipped up off the top of my head, with things I had on hand. Super easy, quick, and a great way to use squash. An instant hit at my house. ",,,
206,Grilled Cheese of the Gods,2,4.5,0,40,6,10,0,"This easy gourmet sandwich is so good, you would serve it to the president if you had him over for dinner. As far as grilled cheese goes, this is it! Serve with a nice gourmet Italian salad. ",,,
207,Roasted Brussels Sprouts with Parmesan,2,4.653061224489796,0,49,20,10,0,"Balsamic vinegar adds a punch of flavor to these easy roasted Brussels sprouts, while the Parmesan provides a melty, cheesy finish. ",,,
208,Perfect Pumpkin Pie,2,4.669997145304025,0,3503,55,15,0,The one and only! EAGLE BRAND® makes this traditional dessert the perfect ending to a Thanksgiving feast. ,,,
209,Taco Seasoning I,2,4.823213600920363,0,7823,0,1,0,"Depending on how spicy you and your family like your dishes, use as little or as much as you want. ",,,
210,Hamburger Steak with Onions and Gravy,2,4.613703339882122,0,4072,25,15,0,"An easy-to-make classic featuring tasty hamburger 'steaks' smothered in gravy and onions. Traditionally served with hot white rice or potatoes, it's a great way to dress up a pound of ground beef and you probably have all the ingredients on hand! ",,,
211,Banana Banana Bread,2,4.59207386006783,0,15922,65,15,0,Why compromise the banana flavor? This banana bread is moist and delicious with loads of banana flavor! Friends and family love my recipe and say it's by far the best! It's wonderful toasted!! Enjoy! ,,,
212,Easy Sugar Cookies,2,4.465844636251541,0,8110,0,0,0,"Quick and easy sugar cookies! They are really good, plain or with candies in them. My friend uses chocolate mints on top, and they're great! ",,,
213,Best Green Bean Casserole,2,4.6329837940896095,0,1049,15,10,0,This great variation of the traditional green bean casserole is topped with French fried onions and Cheddar cheese. ,,,
214,Guacamole,2,4.805727860630856,0,7577,0,10,0,You can make this avocado salad smooth or chunky depending on your tastes. ,,,
215,Easy Coleslaw Dressing,2,4.8,0,2080,0,10,0,A creamy coleslaw dressing that can be made with ingredients you already have! You can pour it immediately over a 14-ounce package of coleslaw mix or refrigerate until needed. ,,,
216,Simple Roasted Butternut Squash,2,4.726057906458798,0,1347,25,15,0,"Butternut squash is so good on its own, that barely any seasoning is needed. This recipe is so simple and easy. ",,,
217,Juicy Roasted Chicken,2,4.712,0,4000,75,10,0,My grandmother's recipe for roasted chicken. We are German and she used to do it this way all the time. I never have had a chicken this juicy before; this little trick works and makes the people eating it go silent. It's funny. We nibble on the celery after. ,,,
218,Jiffy® Corn Casserole,2,4.571428571428571,0,28,50,20,0,"My mother won an award many, many years ago with this recipe in the Arizona Republic newspaper. I think it is delish and so different from a lot of other corn casseroles. Everybody I know asks for this recipe so I am giving it to everyone! Enjoy! ",,,
219,Homemade Mac and Cheese,2,4.160714285714286,0,2576,30,20,0,This is a nice rich mac and cheese. Serve with a salad for a great meatless dinner. Hope you enjoy it. ,,,
220,Easy Sausage Gravy and Biscuits,2,4.813236627379873,0,1103,10,5,0,"Hot jumbo buttermilk biscuits with creamy sausage gravy are ready in just 15 minutes for a hearty, family-favorite breakfast. ",,,
221,Monterey Chicken,2,4.589830508474576,0,295,15,45,0,"Classic Monterey Chicken with sauteed onions, peppers and mushrooms. It's worth the extra time!! ",,,
222,Apple Pie by Grandma Ople,2,4.778871220020855,0,15344,60,30,0,This was my grandmother's apple pie recipe. I have never seen another one quite like it. It will always be my favorite and has won me several first place prizes in local competitions. I hope it becomes one of your favorites as well! ,,,
223,Basic Crepes,2,4.615072316670895,0,3941,20,10,0,Here is a simple but delicious crepe batter which can be made in minutes. It's made from ingredients that everyone has on hand. ,,,
224,Slow Cooker Texas Pulled Pork,2,4.5236363636363635,0,3025,300,15,0,"Slow cooked, Texas-style pulled pork that is served on a buttered and toasted roll. My family's favorite. ",,,
225,Basic Mashed Potatoes,2,4.515151515151516,0,594,20,15,0,"If you love good, old fashioned mashed potatoes this is the perfect recipe. Simple and delicious. ",,,
226,Cheesy Baked Eggs,2,4.792792792792793,0,111,60,15,0,"This basically is eggs, on top of cheese, on top of cheese, on top of eggs making an interesting concoction of eggs, cheese, and flour. To add a little extra kick, add a small can of diced chiles or jalapenos into the mix. Serve with sour cream, salsa, and green taco sauce. ",,,
227,Yummy Sweet Potato Casserole,2,4.78464276633613,0,3933,30,30,0,My family begs me to make this creamy baked dish every Thanksgiving and Christmas. What makes it so good is the pecan topping! Try it and I'm sure it will become your new tradition! ,,,
228,Butternut Squash Soup II,2,4.639331210191083,0,2512,45,25,0,"This is a thick, rich soup with tons of flavor. Something I whipped up off the top of my head, with things I had on hand. Super easy, quick, and a great way to use squash. An instant hit at my house. ",,,
229,Grilled Cheese of the Gods,2,4.5,0,40,6,10,0,"This easy gourmet sandwich is so good, you would serve it to the president if you had him over for dinner. As far as grilled cheese goes, this is it! Serve with a nice gourmet Italian salad. ",,,
230,Roasted Brussels Sprouts with Parmesan,2,4.653061224489796,0,49,20,10,0,"Balsamic vinegar adds a punch of flavor to these easy roasted Brussels sprouts, while the Parmesan provides a melty, cheesy finish. ",,,
231,Perfect Pumpkin Pie,2,4.669997145304025,0,3503,55,15,0,The one and only! EAGLE BRAND® makes this traditional dessert the perfect ending to a Thanksgiving feast. ,,,
232,Taco Seasoning I,2,4.823213600920363,0,7823,0,1,0,"Depending on how spicy you and your family like your dishes, use as little or as much as you want. ",,,
233,Hamburger Steak with Onions and Gravy,2,4.613703339882122,0,4072,25,15,0,"An easy-to-make classic featuring tasty hamburger 'steaks' smothered in gravy and onions. Traditionally served with hot white rice or potatoes, it's a great way to dress up a pound of ground beef and you probably have all the ingredients on hand! ",,,
234,Banana Banana Bread,2,4.59207386006783,0,15922,65,15,0,Why compromise the banana flavor? This banana bread is moist and delicious with loads of banana flavor! Friends and family love my recipe and say it's by far the best! It's wonderful toasted!! Enjoy! ,,,
235,Easy Sugar Cookies,2,4.465844636251541,0,8110,0,0,0,"Quick and easy sugar cookies! They are really good, plain or with candies in them. My friend uses chocolate mints on top, and they're great! ",,,
236,Best Green Bean Casserole,2,4.6329837940896095,0,1049,15,10,0,This great variation of the traditional green bean casserole is topped with French fried onions and Cheddar cheese. ,,,
237,Guacamole,2,4.805727860630856,0,7577,0,10,0,You can make this avocado salad smooth or chunky depending on your tastes. ,,,
238,Easy Coleslaw Dressing,2,4.8,0,2080,0,10,0,A creamy coleslaw dressing that can be made with ingredients you already have! You can pour it immediately over a 14-ounce package of coleslaw mix or refrigerate until needed. ,,,
239,Simple Roasted Butternut Squash,2,4.726057906458798,0,1347,25,15,0,"Butternut squash is so good on its own, that barely any seasoning is needed. This recipe is so simple and easy. ",,,
240,Juicy Roasted Chicken,2,4.712,0,4000,75,10,0,My grandmother's recipe for roasted chicken. We are German and she used to do it this way all the time. I never have had a chicken this juicy before; this little trick works and makes the people eating it go silent. It's funny. We nibble on the celery after. ,,,
241,Jiffy® Corn Casserole,2,4.571428571428571,0,28,50,20,0,"My mother won an award many, many years ago with this recipe in the Arizona Republic newspaper. I think it is delish and so different from a lot of other corn casseroles. Everybody I know asks for this recipe so I am giving it to everyone! Enjoy! ",,,
242,Homemade Mac and Cheese,2,4.160714285714286,0,2576,30,20,0,This is a nice rich mac and cheese. Serve with a salad for a great meatless dinner. Hope you enjoy it. ,,,
243,Easy Sausage Gravy and Biscuits,2,4.813236627379873,0,1103,10,5,0,"Hot jumbo buttermilk biscuits with creamy sausage gravy are ready in just 15 minutes for a hearty, family-favorite breakfast. ",,,
244,Monterey Chicken,2,4.589830508474576,0,295,15,45,0,"Classic Monterey Chicken with sauteed onions, peppers and mushrooms. It's worth the extra time!! ",,,
245,Apple Pie by Grandma Ople,2,4.778871220020855,0,15344,60,30,0,This was my grandmother's apple pie recipe. I have never seen another one quite like it. It will always be my favorite and has won me several first place prizes in local competitions. I hope it becomes one of your favorites as well! ,,,
246,Basic Crepes,2,4.615072316670895,0,3941,20,10,0,Here is a simple but delicious crepe batter which can be made in minutes. It's made from ingredients that everyone has on hand. ,,,
247,Slow Cooker Texas Pulled Pork,2,4.5236363636363635,0,3025,300,15,0,"Slow cooked, Texas-style pulled pork that is served on a buttered and toasted roll. My family's favorite. ",,,
248,Basic Mashed Potatoes,2,4.515151515151516,0,594,20,15,0,"If you love good, old fashioned mashed potatoes this is the perfect recipe. Simple and delicious. ",,,
249,Cheesy Baked Eggs,2,4.792792792792793,0,111,60,15,0,"This basically is eggs, on top of cheese, on top of cheese, on top of eggs making an interesting concoction of eggs, cheese, and flour. To add a little extra kick, add a small can of diced chiles or jalapenos into the mix. Serve with sour cream, salsa, and green taco sauce. ",,,
250,Yummy Sweet Potato Casserole,2,4.78464276633613,0,3933,30,30,0,My family begs me to make this creamy baked dish every Thanksgiving and Christmas. What makes it so good is the pecan topping! Try it and I'm sure it will become your new tradition! ,,,
